"period","athletes","injuries","nonusers","all_carbon","user_share_q25","user_share_median","user_share_q75"
"preparation",352,115,65,10,0.285714285714286,0.421052631578947,0.571428571428571
"competition",352,149,44,33,0.360227272727273,0.5,0.714285714285714
