"component","observed_mean","posterior_mean","lower_95","upper_95","rmse","mae"
"prep_carbon",0.196829713263591,0.171946384297006,0.154451550703007,0.19130105894144,0.135086196774847,0.110322803579884
"prep_noncarbon",0.331246590424269,0.366029124646682,0.3430701153785,0.387903717710412,0.13818259924855,0.109203101771513
"competition_carbon",0.224988490476339,0.218636267866275,0.198863587001012,0.238726255390949,0.123828221129275,0.0978887093752041
"competition_noncarbon",0.246935205835801,0.243388223190038,0.22274553511748,0.26520118386988,0.134326472322966,0.107779527658285
