"model","predictors","n","reference","waic","p_waic","dic","p_dic","elpd_loo","lcpo","elpd_diff","se_elpd_diff"
"type_V_discipline_profile",11,337,"prep_noncarbon",2817.83768514522,38.2094835181081,2807.04649382441,29.7037844048536,-1409.13782531419,4.18141787927059,0,0
"type_VI_full_main",18,337,"prep_noncarbon",2834.49791515483,61.9135339900688,2819.30394572253,50.8212172010981,-1417.51332064027,4.2062709811284,-8.37549532608114,5.87901611539792
"type_VII_nonlinear",20,337,"prep_noncarbon",2838.4199223779,66.3785551573756,2823.67281607397,56.5928075407346,-1420.17945008938,4.21418234447887,-11.0416247751887,6.45356181049384
"type_I_intercept",0,337,"prep_noncarbon",2844.12866404271,16.5635734322352,2835.49307088273,8.7064688564933,-1422.5422624446,4.22119365710564,-13.4044371304128,7.57943876887221
"type_III_anthropometrics",4,337,"prep_noncarbon",2845.41818074209,28.9213151857605,2835.83297483949,20.7565399584873,-1422.96839042849,4.22245813183529,-13.8305651143019,8.34426420633914
"type_VIII_interactions",20,337,"prep_noncarbon",2843.79269895398,68.1565980775012,2827.77178595577,56.793116921905,-1423.06011142194,4.22273030095531,-13.9222861077506,6.61442296223572
"type_II_demographics",2,337,"prep_noncarbon",2849.73404557738,23.6462070481362,2840.07054853152,15.0038878044534,-1424.71560858811,4.22764275545433,-15.5777832739191,8.36138839046701
"type_IV_experience_history",4,337,"prep_noncarbon",2857.31761572828,30.3301586200461,2847.26014925788,21.4800610851139,-1428.03539007371,4.23749373909113,-18.8975647595228,8.55250071420574
