"period","contrast","median","lower_95","upper_95","probability_positive"
"preparation","share_minus_absolute_carbon_frequency",0.0212874798081796,-0.0834602767244757,0.134334002314672,0.64875
"competition","share_minus_absolute_carbon_frequency",-0.00473422538990273,-0.101198612189441,0.087719193958098,0.45925
