"exposure","max_rhat","min_neff","divergences","max_treedepth_hits","chains","iterations","warmup"
"share",1.0072892075441,750.764598181976,0,0,4,2000,1000
"carbon_frequency",1.00281801762825,531.617366555216,0,0,4,2000,1000
