"exposure","max_rhat","min_neff","divergences","max_treedepth_hits","chains","iterations","warmup"
"share",1.04135991495237,77.2000325443718,0,0,2,600,300
"carbon_frequency",1.00452670883091,82.0548939340162,0,0,2,600,300
