"exposure","unit","user_mean","user_sd","user_min","user_max"
"share","proportion",0.493195957500819,0.24069932870876,0.0384615384615385,1
"carbon_frequency","summed ordinal frequency score",4.51260504201681,3.36166131122024,1,25
