"period","contrast","median","lower_95","upper_95","probability_positive"
"preparation","share_minus_absolute_carbon_frequency",0.023365473632143,-0.0865115875961883,0.132729542096266,0.65
"competition","share_minus_absolute_carbon_frequency",-0.00652785210278561,-0.104144321991263,0.0886396169909574,0.446666666666667
