"model","period","max_spd_ratio_M_over_1","q99_spd_ratio_M_over_1","adequate_M"
"primary_gp_association","preparation",0.00191552136173346,0.000328713458165674,TRUE
"primary_gp_association","competition",0.00341618374069089,0.00024958905944308,TRUE
