"model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"sensitivity_gp_wide_prior",0,0,-428.522283120064,11.9011835413391,24.5297494680602,1.14055870133025,857.044566240127,23.8023670826782
"primary_gp_association",-0.482071079489314,1.19583412858519,-429.004354199553,11.1351035066995,22.8558443974092,1.02914543255998,858.008708399107,22.270207013399
"sensitivity_linear_share",-1.37375772709863,2.07709196602482,-429.896040847162,11.1069154104532,19.4220082766669,0.970384996718471,859.792081694324,22.2138308209064
"primary_gp_baseline",-2.40088147912673,2.84804872260219,-430.92316459919,11.03410187858,17.4537124570857,0.962295919985888,861.84632919838,22.06820375716
