"exposure","period","contrast","raw_from","raw_to","risk_from_median","risk_to_median","median","lower_95","upper_95","probability_positive"
"share","preparation","one_SD_increase_among_users",0.37284629314644,0.613545621855199,0.439712179757868,0.477237634247202,0.035760678280674,-0.039262178277293,0.111777345865722,0.828
"share","competition","one_SD_increase_among_users",0.37284629314644,0.613545621855199,0.485113750673577,0.564623037688925,0.0791176896248292,0.0142362245553898,0.143694470669943,0.99025
