"model","predictors","n","reference","waic","p_waic","dic","p_dic","elpd_loo","lcpo","elpd_diff","se_elpd_diff"
"type_V_discipline_profile",11,240,"prep_noncarbon",1252.46028739326,32.2973523654418,1247.3005260585,29.1385507418893,-626.945671586949,2.61227363161229,0,0
"type_VIII_interactions",20,240,"prep_noncarbon",1253.65951026842,62.4780152217185,1242.24146173184,56.2411692216533,-628.482424138515,2.61867676724381,-1.53675255156577,9.38488899754168
"type_VI_full_main",18,240,"prep_noncarbon",1257.12961264395,56.8313522951803,1245.35759018196,50.2518248841309,-629.411501643682,2.62254792351534,-2.46583005673358,8.24250990599336
"type_VII_nonlinear",20,240,"prep_noncarbon",1266.97519591008,64.4553664323369,1252.88313118505,56.6587252821823,-634.187835908598,2.64244931628583,-7.24216432164928,8.5341169902632
"type_III_anthropometrics",4,240,"prep_noncarbon",1284.04457379804,25.533897217197,1278.09221191567,20.9185351171789,-642.096214820577,2.67540089508574,-15.1505432336282,8.40997926775362
"type_I_intercept",0,240,"prep_noncarbon",1293.87401003281,12.5818498494742,1289.63016477276,8.97276218135721,-646.641716462487,2.69434048526036,-19.6960448755384,8.56729598980143
"type_II_demographics",2,240,"prep_noncarbon",1300.70004577041,18.3840261142598,1296.16208768805,14.6582764947491,-650.466125527652,2.71027552303188,-23.5204539407031,9.07304137771419
"type_IV_experience_history",4,240,"prep_noncarbon",1308.50497465024,24.3666577825553,1303.95157150775,20.65173468024,-654.678498256601,2.72782707606917,-27.7328266696518,9.20101125259595
