"coordinate","prep_carbon_vs_prep_noncarbon","competition_carbon_vs_prep_noncarbon","competition_noncarbon_vs_prep_noncarbon"
"prep_carbon_vs_prep_noncarbon",0.78161103888455,0.58373540993888,0.0524491086696989
"competition_carbon_vs_prep_noncarbon",0.58373540993888,0.599378847449701,0.0383261680471543
"competition_noncarbon_vs_prep_noncarbon",0.0524491086696989,0.0383261680471543,0.238571633251684
