"term","coordinate","posterior_mean","posterior_sd","lower_95","upper_95","probability_positive"
"intercept","prep_carbon_vs_prep_noncarbon",-0.406393911454627,0.137670563977775,-0.669404742548904,-0.12965305706314,0.003
"intercept","competition_carbon_vs_prep_noncarbon",-0.286413010296892,0.118494486894396,-0.519413501106092,-0.052771936819233,0.01
"intercept","competition_noncarbon_vs_prep_noncarbon",-0.446024594412907,0.0742331119744909,-0.596793676433278,-0.297447178515444,0
"discipline_1","prep_carbon_vs_prep_noncarbon",0.0221520965524815,0.14312734599788,-0.251832879832019,0.296688764067801,0.551
"discipline_1","competition_carbon_vs_prep_noncarbon",0.108159921507792,0.12729864872125,-0.13661231569433,0.369399226233927,0.796
"discipline_1","competition_noncarbon_vs_prep_noncarbon",-0.0303593874539089,0.0758714383164672,-0.175570349528048,0.115502137542143,0.338
"discipline_2","prep_carbon_vs_prep_noncarbon",-0.00857921784037567,0.153281699898765,-0.304722176565843,0.291905821123602,0.473
"discipline_2","competition_carbon_vs_prep_noncarbon",-0.168067077874391,0.135263987785894,-0.440534315161466,0.0932701055706945,0.116
"discipline_2","competition_noncarbon_vs_prep_noncarbon",0.300935210173108,0.0833026966216438,0.1281662241678,0.463097601788039,1
"discipline_3","prep_carbon_vs_prep_noncarbon",-0.503641062064778,0.167267730327221,-0.837134541803144,-0.193497168651066,0.001
"discipline_3","competition_carbon_vs_prep_noncarbon",-0.609639272531538,0.144440751135242,-0.902457841269686,-0.328536183217885,0
"discipline_3","competition_noncarbon_vs_prep_noncarbon",0.248908906040465,0.0925377687942737,0.0837757420299868,0.429891287530872,0.995
"discipline_4","prep_carbon_vs_prep_noncarbon",0.0208944788209254,0.144964195314091,-0.261880605606975,0.316359584887699,0.571
"discipline_4","competition_carbon_vs_prep_noncarbon",0.0401871697992361,0.129712201234523,-0.21566064526082,0.27480143232799,0.63
"discipline_4","competition_noncarbon_vs_prep_noncarbon",0.0372117015581841,0.0786834155743172,-0.115457943418203,0.19823934288838,0.691
"discipline_5","prep_carbon_vs_prep_noncarbon",-0.0397038821338572,0.198717778097223,-0.427389341880335,0.350658692820668,0.418
"discipline_5","competition_carbon_vs_prep_noncarbon",-0.0866337478807452,0.167293185586044,-0.41538801874048,0.222515912680835,0.308
"discipline_5","competition_noncarbon_vs_prep_noncarbon",-0.148252638451004,0.107098071284547,-0.351307919502509,0.0648860512179583,0.088
"discipline_6","prep_carbon_vs_prep_noncarbon",0.122256571489332,0.353518044397348,-0.577156133979539,0.836368918503337,0.638
"discipline_6","competition_carbon_vs_prep_noncarbon",0.10875834716231,0.312356049274017,-0.514976028287233,0.729798127799543,0.652
"discipline_6","competition_noncarbon_vs_prep_noncarbon",-0.190862944202806,0.203814657470569,-0.572534212502397,0.234084580038972,0.174
"discipline_7","prep_carbon_vs_prep_noncarbon",0.25580539357889,0.181877061064862,-0.0973157876113826,0.621522136011338,0.935
"discipline_7","competition_carbon_vs_prep_noncarbon",0.329017816839657,0.159873960504123,0.0267127366046857,0.637859189290464,0.98
"discipline_7","competition_noncarbon_vs_prep_noncarbon",0.158929934073597,0.0992099697378627,-0.0290242188276034,0.348459469474251,0.945
"discipline_8","prep_carbon_vs_prep_noncarbon",0.00347832884370486,1.7739967955578,-3.36531863068368,3.39410486115105,0.488
"discipline_8","competition_carbon_vs_prep_noncarbon",-0.0124259726729235,1.61244488410801,-3.13433838654729,3.08729416183526,0.497
"discipline_8","competition_noncarbon_vs_prep_noncarbon",0.00467670062636683,0.950309505518231,-1.85062654273584,1.83745272129962,0.511
"discipline_9","prep_carbon_vs_prep_noncarbon",-0.068803216651268,1.76665239192551,-3.29864159703285,3.43671968356604,0.46
"discipline_9","competition_carbon_vs_prep_noncarbon",-0.0223622031231418,1.52330771864731,-2.88175591816362,2.82881597952882,0.491
"discipline_9","competition_noncarbon_vs_prep_noncarbon",-0.0128258585941056,0.9741329212767,-1.8501704419564,1.90129273254189,0.483
"discipline_10","prep_carbon_vs_prep_noncarbon",-0.0175865865604223,1.81972356539838,-3.67024443101167,3.49488074432029,0.506
"discipline_10","competition_carbon_vs_prep_noncarbon",-0.00247364416465602,1.58562138065312,-3.30899540223737,3.01734300712188,0.517
"discipline_10","competition_noncarbon_vs_prep_noncarbon",-0.00260059492811254,0.978608041518457,-1.89972641127546,1.86592131522248,0.487
"discipline_11","prep_carbon_vs_prep_noncarbon",-0.0604733661604524,1.844506715414,-3.51015970559619,3.69502861412516,0.486
"discipline_11","competition_carbon_vs_prep_noncarbon",-0.035030834264911,1.58871474933202,-3.02993212944149,2.9471061397229,0.484
"discipline_11","competition_noncarbon_vs_prep_noncarbon",-0.0534884757403532,0.977934195021848,-1.95755226138167,1.90941416195257,0.468
