"component","observed_mean","posterior_mean","lower_95","upper_95","rmse","mae"
"prep_carbon",0.214611516545377,0.206406731587534,0.193716398138277,0.219998802619891,0.100026833783435,0.0808578945268172
"prep_noncarbon",0.314273039591264,0.323862178584268,0.3092898833007,0.338706499511998,0.103238326555188,0.0819236876056998
"competition_carbon",0.231059399898758,0.231884179683877,0.219180508963232,0.245119722253417,0.0888682917173325,0.0697789613063932
"competition_noncarbon",0.240056043964601,0.237846910144322,0.224583397140847,0.251683237998587,0.0942152175316373,0.0767085438328384
