"period","observed_weighted_prevalence","posterior_mean","lower_95","upper_95"
"preparation",0.315917838227122,0.318429356605003,0.271773566283657,0.364121202793205
"competition",0.415966305596059,0.417642055191453,0.372205882171817,0.466731008049841
