"model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"sensitivity_wide_prior",0,0,-427.7031903157,11.9593244853894,23.4264883017384,1.13649939220891,855.406380631401,23.9186489707788
"primary_association",-0.773089470968473,1.4298238214849,-428.476279786669,11.1305561180622,21.0123217559599,1.00392502446353,856.952559573338,22.2611122361243
"sensitivity_linear",-2.19285053146193,2.49868996598085,-429.896040847162,11.1069154104532,19.4220082766669,0.970384996718474,859.792081694325,22.2138308209064
"primary_baseline",-2.99647484090997,3.2125118231703,-430.69966515661,10.9756269386176,17.0114375191001,0.932104700839839,861.399330313221,21.9512538772352
