"period","observed_weighted_prevalence","posterior_mean","lower_95","upper_95"
"preparation",0.315917838227122,0.317494001836234,0.272507927920285,0.36437550611379
"competition",0.415966305596059,0.417750427450531,0.370435867620194,0.466717788392316
