"age_group","sex","target_n","sample_n","raw_weight","model_weight","sample_share","target_share","kish_effective_n"
"Under 20","Women",204,43,4.74418604651163,1.25749509666573,0.122159090909091,0.153614457831325,340.508646706954
"Under 23","Women",212,53,4,1.06024096385542,0.150568181818182,0.159638554216867,340.508646706954
"Senior","Women",169,62,2.7258064516129,0.722502914885348,0.176136363636364,0.127259036144578,340.508646706954
"Under 20","Men",311,71,4.38028169014085,1.1610385202783,0.201704545454545,0.234186746987952,340.508646706954
"Under 23","Men",248,63,3.93650793650794,1.04341174220692,0.178977272727273,0.186746987951807,340.508646706954
"Senior","Men",184,60,3.06666666666667,0.81285140562249,0.170454545454545,0.13855421686747,340.508646706954
