"term","coordinate","posterior_mean","posterior_sd","lower_95","upper_95","probability_positive"
"intercept","prep_carbon_vs_prep_noncarbon",-0.496078406681,0.14060940868553,-0.775737095219138,-0.220082830775044,0
"intercept","competition_carbon_vs_prep_noncarbon",-0.365358067106056,0.129597080231383,-0.641628728727806,-0.126873005181435,0.001
"intercept","competition_noncarbon_vs_prep_noncarbon",-0.486915216055069,0.0757822778245244,-0.632741812109654,-0.337122123437475,0
"discipline_1","prep_carbon_vs_prep_noncarbon",0.163322038837602,0.148412611109107,-0.128109094597834,0.453958061710511,0.863
"discipline_1","competition_carbon_vs_prep_noncarbon",0.206606580862856,0.136111836964757,-0.0658556679494069,0.476446796956263,0.934
"discipline_1","competition_noncarbon_vs_prep_noncarbon",-0.0668169249854029,0.0754727156839823,-0.218755732821838,0.0776785301404094,0.193
"discipline_2","prep_carbon_vs_prep_noncarbon",-0.163956243927895,0.174169199957119,-0.492288371655059,0.177748677214216,0.177
"discipline_2","competition_carbon_vs_prep_noncarbon",-0.310701864312637,0.15766640139736,-0.607940244032592,0.00962265628644463,0.029
"discipline_2","competition_noncarbon_vs_prep_noncarbon",0.355381169257076,0.0899653887614161,0.183095223633078,0.533474271898657,1
"discipline_3","prep_carbon_vs_prep_noncarbon",-0.492924251776647,0.184104363357062,-0.868944233189499,-0.134733029311184,0.006
"discipline_3","competition_carbon_vs_prep_noncarbon",-0.604369891392979,0.177006457628099,-0.935089130718775,-0.261126568618853,0
"discipline_3","competition_noncarbon_vs_prep_noncarbon",0.259111323915668,0.100092536617837,0.0620790920404471,0.445483565393138,0.994
"discipline_4","prep_carbon_vs_prep_noncarbon",-0.0679536220719073,0.153585678762453,-0.369671388546006,0.24089806356301,0.329
"discipline_4","competition_carbon_vs_prep_noncarbon",0.0321880286886899,0.138254127893165,-0.223107004426097,0.313155178825841,0.591
"discipline_4","competition_noncarbon_vs_prep_noncarbon",0.116075333875049,0.08063710448763,-0.0332989626826641,0.272820536453524,0.936
"discipline_5","prep_carbon_vs_prep_noncarbon",-0.0934644316009962,0.198991499440059,-0.469292639264117,0.299867701511523,0.316
"discipline_5","competition_carbon_vs_prep_noncarbon",-0.122381071769589,0.184585295357343,-0.480931143193612,0.246247648057086,0.245
"discipline_5","competition_noncarbon_vs_prep_noncarbon",-0.0868151081254481,0.105914048408517,-0.307414455439869,0.117230732651809,0.212
"discipline_6","prep_carbon_vs_prep_noncarbon",-0.163895176341993,0.304467080048421,-0.784516217989193,0.43135911159929,0.277
"discipline_6","competition_carbon_vs_prep_noncarbon",-0.204461744011443,0.27788386576827,-0.76946308893396,0.300605881440822,0.22
"discipline_6","competition_noncarbon_vs_prep_noncarbon",0.00926094201036903,0.153730897765154,-0.298450257959614,0.294751208239218,0.534
"discipline_7","prep_carbon_vs_prep_noncarbon",0.152204718638798,0.20302430939997,-0.237730973691129,0.569458920601411,0.784
"discipline_7","competition_carbon_vs_prep_noncarbon",0.213598247646055,0.187823345798297,-0.1580261577323,0.585923369234919,0.874
"discipline_7","competition_noncarbon_vs_prep_noncarbon",0.21822129577341,0.102166547141845,0.0202652512642976,0.41283770848516,0.982
"discipline_8","prep_carbon_vs_prep_noncarbon",-0.0372405639499784,2.21609409279673,-4.58711981550848,4.29191668534952,0.496
"discipline_8","competition_carbon_vs_prep_noncarbon",-0.0441199809429212,2.00445653164733,-4.00702206280478,3.65812769153379,0.504
"discipline_8","competition_noncarbon_vs_prep_noncarbon",0.0281567877834981,1.15849611447032,-2.21413746699839,2.33318437219656,0.491
"discipline_9","prep_carbon_vs_prep_noncarbon",0.0490061054312985,2.25386407848164,-4.54715859395285,4.28400832512874,0.53
"discipline_9","competition_carbon_vs_prep_noncarbon",0.0456697066618332,2.07551298963087,-3.93934289398674,3.83574227943051,0.518
"discipline_9","competition_noncarbon_vs_prep_noncarbon",-0.0408661344995222,1.15897251001491,-2.34619805210462,2.14075231995082,0.483
"discipline_10","prep_carbon_vs_prep_noncarbon",0.007236006574035,2.14605713512685,-4.19713936099569,4.14429240164503,0.504
"discipline_10","competition_carbon_vs_prep_noncarbon",0.0199403742679525,1.98063082342175,-3.87127223392818,3.82226353643811,0.506
"discipline_10","competition_noncarbon_vs_prep_noncarbon",0.0418466042249227,1.14800117571745,-2.23574035133303,2.32237224985048,0.52
"discipline_11","prep_carbon_vs_prep_noncarbon",0.0279884584326276,2.19334309740353,-4.05368424793558,4.24007381131461,0.513
"discipline_11","competition_carbon_vs_prep_noncarbon",0.00103975241169318,2.01283704174089,-4.09089830248573,3.83933545047005,0.505
"discipline_11","competition_noncarbon_vs_prep_noncarbon",-0.0203567135670148,1.17075091293284,-2.30920646145533,2.26899592659306,0.494
