"component","observed_mean","posterior_mean","lower_95","upper_95","rmse","mae"
"prep_carbon",0.204277179090693,0.193676518943167,0.179823449366367,0.20812027423198,0.116887893717842,0.095380964958696
"prep_noncarbon",0.323317307713011,0.338517677834687,0.321655570400538,0.355349590638495,0.119928142642771,0.095807114770605
"competition_carbon",0.2269104038009,0.224056079772564,0.208590553614711,0.238949589753129,0.109101965545212,0.087088623514787
"competition_noncarbon",0.245495109395396,0.243749723449583,0.229808558352529,0.258517197939865,0.116081477225453,0.0952058131357675
