"model","predictors","n","reference","waic","p_waic","dic","p_dic","elpd_loo","lcpo","elpd_diff","se_elpd_diff"
"type_V_discipline_profile",11,337,"prep_noncarbon",2079.48393470302,33.5999658884239,2073.86779422175,29.6109252404699,-1039.82877381182,3.08554532288375,0,0
"type_VI_full_main",18,337,"prep_noncarbon",2092.34404863718,57.6428282871858,2081.90711760301,50.7008316274355,-1046.41920977209,3.10510151267684,-6.59043596027095,7.03724035971488
"type_VII_nonlinear",20,337,"prep_noncarbon",2095.67247555126,62.7801412179731,2084.85708211749,56.2461412084406,-1048.82412040491,3.11223774600862,-8.99534659308165,7.66060470363696
"type_VIII_interactions",20,337,"prep_noncarbon",2100.60834669487,64.3837718624691,2088.37887137627,56.4922541818312,-1050.95517255619,3.11856134289671,-11.1263987443665,7.67905896537715
"type_III_anthropometrics",4,337,"prep_noncarbon",2117.9408884806,25.5921202903919,2112.20328356067,20.8599050511539,-1059.15763455221,3.14290099273654,-19.3288607403899,8.08716562938139
"type_I_intercept",0,337,"prep_noncarbon",2119.11383607232,13.4814953251876,2114.15379515479,8.95289923055634,-1059.43466388899,3.14372303824625,-19.6058900771636,7.83642966935973
"type_II_demographics",2,337,"prep_noncarbon",2124.51822859902,20.0678176795918,2118.75481189588,15.1220198508422,-1061.77175318331,3.15065802131545,-21.942979371481,8.616032614566
"type_IV_experience_history",4,337,"prep_noncarbon",2130.23999786162,25.2975541562598,2124.77886265528,20.8128577228831,-1065.24700657822,3.16097034592942,-25.4182327663918,9.08659201266211
