"model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"primary_association",0,0,-428.476279786669,11.1305561180622,21.0123217559599,1.00392502446353,856.952559573338,22.2611122361243
"primary_baseline",-2.2233853699415,2.29552848169676,-430.69966515661,10.9756269386176,17.0114375191001,0.932104700839839,861.399330313221,21.9512538772352
