"model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"primary_gp_association",0,0,-429.004354199553,11.1351035066995,22.8558443974092,1.02914543255998,858.008708399107,22.270207013399
"primary_gp_baseline",-1.91881039963742,2.41094568404498,-430.92316459919,11.03410187858,17.4537124570857,0.962295919985888,861.84632919838,22.06820375716
