"model","predictors","n","reference","waic","p_waic","dic","p_dic","elpd_loo","lcpo","elpd_diff","se_elpd_diff"
"type_V_discipline_profile",11,337,"prep_noncarbon",2441.53395384682,36.7127012559689,2432.86238366425,30.0355989971613,-1220.52819197402,3.62174537677751,0,0
"type_VI_full_main",18,337,"prep_noncarbon",2456.32246722852,59.5970266038618,2443.59372242974,50.9408171849082,-1228.54103339448,3.64552235428629,-8.01284142045984,6.30411623152622
"type_VII_nonlinear",20,337,"prep_noncarbon",2462.49520865116,66.2366565184897,2448.58221847762,57.250677533912,-1231.04735130888,3.65295949943286,-10.5191593348538,6.89863758114069
"type_VIII_interactions",20,337,"prep_noncarbon",2463.75256593048,65.892246637585,2449.43324620306,55.7428782866668,-1233.92076378498,3.66148594594951,-13.3925718109638,7.01615649817662
"type_III_anthropometrics",4,337,"prep_noncarbon",2475.02232746724,28.0863879593164,2466.4823595636,20.8960158504988,-1237.3397903852,3.67163142547538,-16.8115984111819,8.2600045202863
"type_I_intercept",0,337,"prep_noncarbon",2474.51745351039,15.5669927222234,2467.3079090121,8.86043354167441,-1237.34340851604,3.67164216176865,-16.8152165420145,7.65725968180338
"type_II_demographics",2,337,"prep_noncarbon",2479.9076554398,22.2768339592567,2471.91606479047,15.147079648239,-1239.55156708124,3.67819456107192,-19.0233751072169,8.49380520613859
"type_IV_experience_history",4,337,"prep_noncarbon",2485.06870309238,27.1865377663945,2477.33429301557,20.6981655094601,-1242.8845371706,3.68808468003145,-22.3563451965781,8.83019231043276
