"component","observed_mean","posterior_mean","lower_95","upper_95","rmse","mae"
"prep_carbon",0.199535782404691,0.182700077173691,0.166779243735423,0.198626768031313,0.127528198903695,0.104275667351218
"prep_noncarbon",0.328377059123711,0.351931153969481,0.332561914794618,0.373167389704271,0.129786126619482,0.102971935321315
"competition_carbon",0.225728185980093,0.221801425989583,0.20504268548656,0.238833387792357,0.117865970807334,0.093511411235475
"competition_noncarbon",0.246358972491504,0.243567342867245,0.225992050669089,0.26228841941845,0.126982812569656,0.102979732997067
