"exposure","period","contrast","raw_from","raw_to","risk_from_median","risk_to_median","median","lower_95","upper_95","probability_positive"
"share","preparation","one_SD_increase_among_users",0.37284629314644,0.613545621855199,0.436748707069057,0.472930831116122,0.0352862362034812,-0.0418426597410698,0.113641662978168,0.843333333333333
"share","competition","one_SD_increase_among_users",0.37284629314644,0.613545621855199,0.487086921489939,0.564642539835196,0.0788857616976562,0.0191071238741215,0.135071207663362,0.991666666666667
